Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-27,0.03,0.0273,252.5726,160,0.002295872,0,101300.78,7.2436476,278.66165,280.09668,280.7618,274.07053,339.02808,205.06567,28,10558800,11814000,9275700,3029700,14615700,14381700,14948700,13915500,9785700
1994-01-28,0.07,0.0677,246,200,0.002323274,0,102333.77,7.4693446,274.97644,276.5573,277.99066,272.4811,329.6662,163.87349,39,11814000,9275700,3029700,14615700,14381700,14948700,13915500,9785700,14622900
1994-01-29,0.15,0.1496,279,150,0.002738828,0.05,102354.46,9.7,276.02396,275.97986,278.28052,273.05716,334.1959,174.81879,31,9275700,3029700,14615700,14381700,14948700,13915500,9785700,14622900,15177600
1994-01-30,0.23,0.2277,290,140,0.00336,0.7,102576.19,9.92454,275.93118,275.23962,278.38193,273.552,331.76083,194.38654,31,3029700,14615700,14381700,14948700,13915500,9785700,14622900,15177600,9370500
1994-01-31,0.14,0.1471,245,170,0.001770072,0,103783.33,5.2,267.69052,269.07602,270.11035,266.29163,294,193.78372,73,14615700,14381700,14948700,13915500,9785700,14622900,15177600,9370500,5326500
1994-02-01,0,0.0006,204.6619,270,0.00257,0,103163.33,4.4369726,271.312,274.2556,274.5657,265.2867,300.06183,225.42221,114,14381700,14948700,13915500,9785700,14622900,15177600,9370500,5326500,8162700
1994-02-02,0.03,0.0354,217.20709,260,0.00221,0,102681.78,4.3622627,275.3038,278.2096,279.3359,266.78973,315.24533,218.92487,62,14948700,13915500,9785700,14622900,15177600,9370500,5326500,8162700,15381000
1994-02-03,0.06,0.063,263.25333,240,0.00342,0,102123.16,8.9,281.29584,281.92883,281.94446,273.1909,336.93353,212.67242,54,13915500,9785700,14622900,15177600,9370500,5326500,8162700,15381000,15174000
1994-02-04,0.02,0.0183,281,250,0.003246703,0,101907.34,12.4,280.0301,281.30988,283.33337,279.22214,352.12708,215.39989,56,9785700,14622900,15177600,9370500,5326500,8162700,15381000,15174000,16192800
1994-02-05,0,0.0005,265,270,0.00354,0,101970.12,9.38038,278.9215,280.49216,282.49384,279.9794,352.31335,250.70576,59,14622900,15177600,9370500,5326500,8162700,15381000,15174000,16192800,17148900
1994-02-06,0,1.00E-04,252,280,0.00329,0,101766.63,5.676639,281.02197,283.35675,286.87976,277.825,359.4835,254.54657,62,15177600,9370500,5326500,8162700,15381000,15174000,16192800,17148900,11274000
1994-02-07,0.1,0.0966,286,240,0.004690569,0,101428.93,9,289.95578,292.2512,292.2743,281.18176,376.9857,204.961,49,9370500,5326500,8162700,15381000,15174000,16192800,17148900,11274000,16218900
1994-02-08,0.05,0.0514,329,240,0.00628,0,100629.95,15.7,293.45786,296.5315,298.42822,287.9403,411,209.6279,49,5326500,8162700,15381000,15174000,16192800,17148900,11274000,16218900,15777600
1994-02-09,0.05,0.0521,262,220,0.00098,0.02,102605.95,8.331988,270.47687,267.4172,270.7431,266.28452,315.64444,194.95004,49,8162700,15381000,15174000,16192800,17148900,11274000,16218900,15777600,16014000
1994-02-10,0,0.001,235.9932,280,0.001052071,0,102390.99,6.3227305,274.56732,273.09616,273.1174,265.70828,312.62048,224.83017,64,15381000,15174000,16192800,17148900,11274000,16218900,15777600,16014000,3995400
1994-02-11,0,0.0056,238.22101,280,0.00257,0,101748.72,10.637385,283.6507,281.18317,281.19806,269.60495,330.63422,237.00513,63,15174000,16192800,17148900,11274000,16218900,15777600,16014000,3995400,3547500
1994-02-12,0,0.0021,250,290,0.00263779,0,102389.41,6.6,280.2994,281.18256,282.97977,280.91177,354.48462,254.13512,65,16192800,17148900,11274000,16218900,15777600,16014000,3995400,3547500,16350300
1994-02-13,0,0,214,310,0.00163,0,103886.75,2.4061365,279.3257,281.29822,281.33942,272.03644,342.21796,257.4988,70,17148900,11274000,16218900,15777600,16014000,3995400,3547500,16350300,1722600
1994-02-14,0.03,0.0259,236,294,0.00178,0,102635.27,5.5,283.78558,285.35864,285.43942,275.56287,349.3597,228.74649,66,11274000,16218900,15777600,16014000,3995400,3547500,16350300,1722600,4304400
1994-02-15,0,0.0062,270.47433,298,0.00296,0,102532.36,7.9,284.1601,286.2914,287.35507,275.88876,361.20193,245.20068,66,16218900,15777600,16014000,3995400,3547500,16350300,1722600,4304400,18072300
1994-02-16,0,1.00E-04,266,300,0.005313831,0,102774.65,8.2267475,287.36075,289.00412,289.04575,277.84525,371,266.05035,67,15777600,16014000,3995400,3547500,16350300,1722600,4304400,18072300,18503700
1994-02-17,0.01,0.0155,282,300,0.00614,0,102088.33,11.9,290.04468,291.7966,292.0514,281.94208,384.1747,257.8209,65,16014000,3995400,3547500,16350300,1722600,4304400,18072300,18503700,18337500
1994-02-18,0.04,0.0443,314,210,0.00713,0,101141.86,21.9,290.56458,289.5882,289.5714,283.82224,383.13287,246.98264,43,3995400,3547500,16350300,1722600,4304400,18072300,18503700,18337500,18771600
1994-02-19,0.28,0.2762,346,110,0.00822,0.03,100753.54,21.650665,291.36563,292.37408,292.42917,287.12085,396.662,175.89377,18,3547500,16350300,1722600,4304400,18072300,18503700,18337500,18771600,9246600
1994-02-20,0.03,0.0264,269.3381,306,0.00263,0,101572.15,7.5,286.97635,288.7213,291.82837,282.77664,384.42444,246.83322,67,16350300,1722600,4304400,18072300,18503700,18337500,18771600,9246600,1309800
1994-02-21,0.63,0.6272,303.0996,124,0.00547,0.01,101989.08,18.8,284.41913,284.66104,285.81265,279.89157,367.07593,159.79956,19,1722600,4304400,18072300,18503700,18337500,18771600,9246600,1309800,3914700
1994-02-22,0.03,0.0321,332.01898,138,0.00755,1.1,100405.28,14.977753,285.2438,286.29987,286.28482,282.62585,370.48523,251.17725,26,4304400,18072300,18503700,18337500,18771600,9246600,1309800,3914700,19611600
1994-02-23,0,0.0002,222.13123,332,0.00211,0,102074.39,4.5775228,278.2681,277.97507,278.01685,271.0538,328.4033,237.0235,74,18072300,18503700,18337500,18771600,9246600,1309800,3914700,19611600,16407900
1994-02-24,0,0,240.6619,334,0.00343,0,101469.08,6.7652607,285.89252,286.8999,286.93283,273.35556,347.0133,248.65305,74,18503700,18337500,18771600,9246600,1309800,3914700,19611600,16407900,19511400
1994-02-25,0,0.0014,247.79807,331,0.00225,0,102447.37,8.710951,279.5611,278.5093,281.5708,277.87665,354.4936,256.79208,72,18337500,18771600,9246600,1309800,3914700,19611600,16407900,19511400,19744200
1994-02-26,0,0.0002,223,338,0.001290835,0,103295.08,8.4,277.42313,274.84198,274.77948,268.98355,326.3505,232.98569,74,18771600,9246600,1309800,3914700,19611600,16407900,19511400,19744200,12696300
1994-02-27,0,0.0021,248.6105,332,0.0031,0,102263.28,13.901817,283.4453,281.95074,281.98553,271.4375,340,236.13306,72,9246600,1309800,3914700,19611600,16407900,19511400,19744200,12696300,10343100
1994-02-28,0.13,0.1245,353,84,0.007834744,0.59,101276.39,21.294432,286.86685,287.0964,287.1031,280.6949,365.50943,204.54193,14,1309800,3914700,19611600,16407900,19511400,19744200,12696300,10343100,1713300
1994-03-01,0.29,0.2934,318.6105,87,0.00451,1.09,102163.54,16.242393,279.5482,277.9892,282.0662,277.92477,350,198.79172,19,3914700,19611600,16407900,19511400,19744200,12696300,10343100,1713300,17342400
1994-03-02,0,0.0007,259,348,0.00557,0,102419.24,10.1,285.45108,287.23596,287.2249,274.30365,353,254.50174,75,19611600,16407900,19511400,19744200,12696300,10343100,1713300,17342400,21251100
1994-03-03,0.01,0.015,281,347,0.00561125,0,102204.29,11.6,290.32346,292.33157,292.38544,280.5345,381.04706,256,74,16407900,19511400,19744200,12696300,10343100,1713300,17342400,21251100,20246100
1994-03-04,0,0.0008,283.72028,359,0.00508,0,101337.95,10.2193775,291.7842,293.6473,293.95575,284.24146,398.79608,265.2442,77,19511400,19744200,12696300,10343100,1713300,17342400,21251100,20246100,5948100
1994-03-05,0,1.00E-04,296.7929,356,0.008916134,0,101263.63,14.904517,292.95004,293.37408,293.3698,283.9395,401.63556,271.66122,76,19744200,12696300,10343100,1713300,17342400,21251100,20246100,5948100,21422100
1994-03-06,0,0.0025,344,340,0.00815,0.02,101027.33,16.2,295.17157,296.64523,296.6072,287.47073,421.8078,269.6691,70,12696300,10343100,1713300,17342400,21251100,20246100,5948100,21422100,21631800
1994-03-07,0.02,0.0226,323,265,0.00834,0.01,101451.25,17.7,289.74652,289.6607,290.7695,286.22638,398.6004,277.01483,55,10343100,1713300,17342400,21251100,20246100,5948100,21422100,21631800,21528300
1994-03-08,0.38,0.3775,332,26,0.00479,2.8,102022.49,20.8,278.65356,278.13382,278.58112,278.11127,342.14844,239.1131,4,1713300,17342400,21251100,20246100,5948100,21422100,21631800,21528300,21609900
1994-03-09,0.02,0.0173,269,348,0.0033,0.01,102602.2,8.96077,278.21167,277.5977,277.64606,271.4848,326.55154,230.20534,96,17342400,21251100,20246100,5948100,21422100,21631800,21528300,21609900,21330300
1994-03-10,0,0.0002,238.25333,391,0.00341019,0,102790,6.0666833,283.94232,284.92828,284.90005,273.00226,350.03796,251.342,85,21251100,20246100,5948100,21422100,21631800,21528300,21609900,21330300,22074300
1994-03-11,0.01,0.0134,261.0103,381,0.00402,0,102318.59,7.035289,286.7287,288.02716,288.90378,278.29193,368.4274,247.04443,80,20246100,5948100,21422100,21631800,21528300,21609900,21330300,22074300,19565400
1994-03-12,0.26,0.2605,337,133,0.00685,0.19,102389.25,19.061684,284.383,284.68307,285.4427,280.3153,367.49338,221.35059,23,5948100,21422100,21631800,21528300,21609900,21330300,22074300,19565400,13879500
1994-03-13,0,0.0004,286.47433,385,0.00518,0,102968.35,12,286.67783,287.7269,287.90005,280.07468,374,252.76643,81,21422100,21631800,21528300,21609900,21330300,22074300,19565400,13879500,23410800
1994-03-14,0,0.0004,273,401,0.005034743,0,101935.6,11.327553,291.7806,293.54044,293.54083,281.43716,386.83246,269.3692,85,21631800,21528300,21609900,21330300,22074300,19565400,13879500,23410800,20794500
1994-03-15,0,0.0005,307.22174,393,0.00766,0,101515.17,15.93344,291.5467,292.4434,294.33063,286.15594,408.14923,267.68958,82,21528300,21609900,21330300,22074300,19565400,13879500,23410800,20794500,20697000
1994-03-16,0,0.0005,276,410,0.00481,0,101900.63,9.181377,291.05066,292.08282,292.12354,280.14676,392.05133,270.2937,87,21609900,21330300,22074300,19565400,13879500,23410800,20794500,20697000,16395900
1994-03-17,0.01,0.0108,320,389,0.00846,0,100682.055,16,297.75842,298.8565,298.87827,287.43707,417.01013,266.60278,81,21330300,22074300,19565400,13879500,23410800,20794500,20697000,16395900,16358100
1994-03-18,0,0.0014,309.52567,412,0.00567,0,101007.484,14.2,294.15488,295.35306,296.71735,290.02655,422.1685,277.45566,86,22074300,19565400,13879500,23410800,20794500,20697000,16395900,16358100,3434400
1994-03-19,0.01,0.0087,331.47433,401,0.00951,0,100438.06,19.943995,298.95844,299.91644,299.95935,287.71286,427.3884,256.0827,82,19565400,13879500,23410800,20794500,20697000,16395900,16358100,3434400,16572300
1994-03-20,0.01,0.0111,340.31024,403,0.00558,0,100215.67,20.604805,298.93793,300.77063,302.99585,293.67557,445.13983,261.13885,83,13879500,23410800,20794500,20697000,16395900,16358100,3434400,16572300,23757300
1994-03-21,0,0.001,282.221,435,0.00382,0,101755.31,6,291.00394,290.693,290.7067,283.8208,395.37585,274.19974,92,23410800,20794500,20697000,16395900,16358100,3434400,16572300,23757300,23845800
1994-03-22,0,0.0055,281,437,0.00552,0,101216.43,9.8,294.68555,295.50208,295.5244,282.33926,399.2716,281.036,92,20794500,20697000,16395900,16358100,3434400,16572300,23757300,23845800,24373200
1994-03-23,0.03,0.0343,336,403,0.00872,0,100380.7,15.5,298.1186,299.22565,299.3334,289.26233,436.28482,255.65996,80,20697000,16395900,16358100,3434400,16572300,23757300,23845800,24373200,24456600
1994-03-24,0.01,0.0077,344,351,0.00591,0,101224.78,16.8,293.4422,291.77484,294.07635,291.5842,423,214.64435,67,16395900,16358100,3434400,16572300,23757300,23845800,24373200,24456600,24558900
1994-03-25,0.01,0.0148,275,431,0.00521,0,101961.03,20.001898,290.6883,286.5416,286.5715,276.90045,372.02658,248.99826,89,16358100,3434400,16572300,23757300,23845800,24373200,24456600,24558900,20925600
1994-03-26,0.05,0.05,353.6619,392,0.00529,0.24,99880.1,12.2,294.4779,295.9636,300.1567,287.56104,423.8828,261.3586,77,3434400,16572300,23757300,23845800,24373200,24456600,24558900,20925600,24707100
1994-03-27,0.06,0.0618,278.74667,392,0.00333,0,101133.7,10.411031,285.09586,284.18134,286.628,278.46057,372.47433,240.81668,80,16572300,23757300,23845800,24373200,24456600,24558900,20925600,24707100,15247800
1994-03-28,0,0.0002,248.52357,475,0.00185,0,102511.43,4.5,285.2403,284.4779,284.52594,274.68976,361.05136,250.93347,102,23757300,23845800,24373200,24456600,24558900,20925600,24707100,15247800,10971300
1994-03-29,0,0.0011,257,467,0.00363,0,102379.47,9.6,287.1367,287.74963,287.96713,279.94333,376.06042,257.26672,98,23845800,24373200,24456600,24558900,20925600,24707100,15247800,10971300,25663500
1994-03-30,0,1.00E-04,272.3895,438,0.00278,0.01,103386.7,6.4,286.20465,284.94403,284.92807,277.79956,371.25333,222.59976,87,24373200,24456600,24558900,20925600,24707100,15247800,10971300,25663500,24148500
1994-03-31,0,0,263,472,0.00458,0,102458.5,9.6,291.2148,291.4713,291.44385,276.87613,377.94748,257.55658,99,24456600,24558900,20925600,24707100,15247800,10971300,25663500,24148500,23217600
1994-04-01,0,1.00E-04,290,472,0.00698,0,101806.37,11.7,295.0362,295.10217,295.21173,283.42233,402.1172,273.46713,98,24558900,20925600,24707100,15247800,10971300,25663500,24148500,23217600,18671700
1994-04-02,0,0.0043,316,458,0.00776,0,101058.93,16.300991,294.34726,295.18915,298.0818,286.86563,415.03827,259.14227,93,20925600,24707100,15247800,10971300,25663500,24148500,23217600,18671700,6877200
1994-04-03,0,0.0003,264,488,0.00456,0,102559.49,8.7,290.01138,289.69156,289.68445,278.4098,392.92932,268.01196,102,24707100,15247800,10971300,25663500,24148500,23217600,18671700,6877200,14823000
1994-04-04,0.09,0.0826,309.6105,447,0.00827,0,100768.73,18.1,297.02692,295.70157,295.70883,283.2455,402.221,205.60738,89,15247800,10971300,25663500,24148500,23217600,18671700,6877200,14823000,26284800
1994-04-05,0.04,0.0361,296,398,0.00442,0,101050.414,12.6,284.72266,284.45038,287.18082,284.3317,393.47433,221.86115,78,10971300,25663500,24148500,23217600,18671700,6877200,14823000,26284800,26033400
1994-04-06,0,0.0003,233,505,0.00265,0,102448.8,6.076736,285.72275,282.51663,282.44177,271.30283,351,251.803,106,25663500,24148500,23217600,18671700,6877200,14823000,26284800,26033400,24832500
1994-04-07,0,0.0016,258.14023,502,0.0044,0,101912.65,9.256365,290.5664,289.83896,289.85123,276.27435,372.4206,252.97841,105,24148500,23217600,18671700,6877200,14823000,26284800,26033400,24832500,25548000
1994-04-08,0,0.001,299.25333,490,0.00802,0,101205.55,16.5,296.55377,295.68372,295.70096,283.27585,408.11816,267.39944,100,23217600,18671700,6877200,14823000,26284800,26033400,24832500,25548000,27059400
1994-04-09,0.01,0.0079,340,478,0.00622,0,100361.63,13.966162,298.3499,300.16858,302.04926,288.3625,432.50195,269.253,96,18671700,6877200,14823000,26284800,26033400,24832500,25548000,27059400,27291300
1994-04-10,0,0.0017,331,490,0.01026,0,100456.79,18.8074,299.89777,299.18314,299.1798,289.4406,443.6762,270.67242,99,6877200,14823000,26284800,26033400,24832500,25548000,27059400,27291300,27614400
1994-04-11,0,0.0064,346.56354,343,0.008198828,0.24,101060.22,14.8,289.34308,289.80362,291.3039,285.357,393.88733,271.45844,64,14823000,26284800,26033400,24832500,25548000,27059400,27291300,27614400,25514400
1994-04-12,0,0.0003,269,514,0.00471,0,102060.95,11.427733,292.53333,290.44016,290.4092,278.45056,381.00012,262.7963,106,26284800,26033400,24832500,25548000,27059400,27291300,27614400,25514400,21440100
1994-04-13,0.01,0.0128,290,521,0.00663,0,101193.9,10.6,297.5923,299.12125,299.1502,283.46222,410.89734,267.0916,108,26033400,24832500,25548000,27059400,27291300,27614400,25514400,21440100,21853800
1994-04-14,0.01,0.0077,341.03543,493,0.007883525,0,100236.6,15.9,300.20392,302.0608,302.5003,290.6352,439.47433,277.81668,98,24832500,25548000,27059400,27291300,27614400,25514400,21440100,21853800,26088600
1994-04-15,0,0.0016,298.19022,516,0.005011734,0,101998.39,14.3,290.7465,291.315,293.9839,287.34244,404.52567,269.38568,105,25548000,27059400,27291300,27614400,25514400,21440100,21853800,26088600,22077300
1994-04-16,0,0.0002,285.3895,533,0.005325726,0,102767.234,9.8,295.8928,296.1822,296.20767,279.66693,413.47433,276.66888,110,27059400,27291300,27614400,25514400,21440100,21853800,26088600,22077300,16749000
1994-04-17,0,0.0004,290,536,0.00589,0,102604.39,9.642689,294.79425,295.72107,297.0218,283.17398,413.00378,278.62024,110,27291300,27614400,25514400,21440100,21853800,26088600,22077300,16749000,11226600
1994-04-18,0,0.0002,291,543,0.00636,0,101779.09,8.7,296.72653,297.84113,298.96625,284.06622,416,278.55804,112,27614400,25514400,21440100,21853800,26088600,22077300,16749000,11226600,26487300
1994-04-19,0.01,0.0064,331,520,0.01005,0,101708.75,20.5,298.6676,299.19855,300.15012,287.1695,434.52277,264.86646,104,25514400,21440100,21853800,26088600,22077300,16749000,11226600,26487300,4829700
1994-04-20,0.01,0.007,352,511,0.01148,0.24,101910.37,28.1,298.48254,298.75107,299.0949,288.70737,447.46735,261.04355,101,21440100,21853800,26088600,22077300,16749000,11226600,26487300,4829700,26814900
1994-04-21,0.16,0.1636,364.00253,390,0.01085,0,101507.64,24.7,297.9027,298.2152,298.83145,289.0768,437.577,159.94513,71,21853800,26088600,22077300,16749000,11226600,26487300,4829700,26814900,2513100
1994-04-22,0,0.0011,346,523,0.011121552,0,101521.55,27.7,298.72308,298.98407,299.38696,285.50153,444.805,271.5249,104,26088600,22077300,16749000,11226600,26487300,4829700,26814900,2513100,22257600
1994-04-23,0,0.0013,352,522,0.01169,0.2,101351.13,29.4,298.30905,298.64352,299.7872,288.86765,440.15588,276.61075,103,22077300,16749000,11226600,26487300,4829700,26814900,2513100,22257600,25236900
1994-04-24,0.07,0.0654,371,454,0.011903895,0.21,100814.8,34.1,297.4672,297.78656,300.51035,290.58817,439.13123,236.78351,85,16749000,11226600,26487300,4829700,26814900,2513100,22257600,25236900,3391500
1994-04-25,0,0.0028,343.3381,526,0.00502,0.05,100211.27,11.4,297.4078,298.28824,301.5259,290.80035,443.3312,280.63354,102,11226600,26487300,4829700,26814900,2513100,22257600,25236900,3391500,14077800
1994-04-26,0,0.0019,298.47433,565,0.00437,0,100442.48,10.3,299.98972,300.20084,300.1245,287.78677,433.9649,276.4491,116,26487300,4829700,26814900,2513100,22257600,25236900,3391500,14077800,21780600
1994-04-27,0.11,0.1079,347,89,0.00747,0.61,101133.72,29.5,287.11575,287.17596,288.65045,285.35297,397.35156,238.00014,16,4829700,26814900,2513100,22257600,25236900,3391500,14077800,21780600,26321100
1994-04-28,0.01,0.0062,324,530,0.00775,0,101671.47,17.798092,294.28687,290.96545,290.99353,279.13382,385.34366,265.99762,105,26814900,2513100,22257600,25236900,3391500,14077800,21780600,26321100,21940200
1994-04-29,0.88,0.8834,340,109,0.00552,4.83,102309.52,30.5,280.9779,280.17136,280.92114,279.92078,352.28033,161.67435,18,2513100,22257600,25236900,3391500,14077800,21780600,26321100,21940200,17428200
1994-04-30,0,0.0009,266,565,0.00546,0,102382.83,12.7,288.3558,286.92197,286.9535,274.83716,366.6105,263.81122,115,22257600,25236900,3391500,14077800,21780600,26321100,21940200,17428200,22774500
1994-05-01,0,0.0019,269.1172,569,0.00578,0,102246.47,12.909582,289.4845,287.42966,287.43225,276.25055,376.9857,263.00055,116,25236900,3391500,14077800,21780600,26321100,21940200,17428200,22774500,6791700
1994-05-02,0.24,0.2404,364,118,0.00924,3.48,101425.58,26.9,288.12402,287.80988,287.9767,283.6346,377.01898,229.6619,20,3391500,14077800,21780600,26321100,21940200,17428200,22774500,6791700,12729900
1994-05-03,0.01,0.017,328.01898,447,0.00823,0.03,101848.23,20.3,292.38086,289.79825,289.81955,281.60657,388.4028,252,83,14077800,21780600,26321100,21940200,17428200,22774500,6791700,12729900,5812800
1994-05-04,0,1.00E-04,331,558,0.00954,0,101733.69,22.9,295.96063,294.90268,294.87555,284.0468,418.4708,269.01898,112,21780600,26321100,21940200,17428200,22774500,6791700,12729900,5812800,18729300
1994-05-05,0,0.0004,344,554,0.01168,0,101902.89,28,298.28607,298.6118,298.81403,287.20987,434,272.01898,110,26321100,21940200,17428200,22774500,6791700,12729900,5812800,18729300,20025900
1994-05-06,0.01,0.0109,365.52567,548,0.01416,0,100990.08,30,302.64233,301.76517,301.75348,291.83582,449.1172,268,108,21940200,17428200,22774500,6791700,12729900,5812800,18729300,20025900,17449800
1994-05-07,0.07,0.0734,359,468,0.00936,0,101470.64,24,294.43015,294.57758,295.47,290.60352,422.779,206.09497,85,17428200,22774500,6791700,12729900,5812800,18729300,20025900,17449800,29331900
1994-05-08,0.08,0.0854,339,462,0.00925,0,101432.59,28.3,297.6363,295.06522,295.01822,283.44308,409,203,84,22774500,6791700,12729900,5812800,18729300,20025900,17449800,29331900,28535400
1994-05-09,0.13,0.1311,375,460,0.01115,0.07,101114.94,32.9,299.14233,298.3632,301.16852,292.78934,452.8822,184.36089,84,6791700,12729900,5812800,18729300,20025900,17449800,29331900,28535400,16043400
1994-05-10,0.1,0.1022,370.52567,473,0.01139,0,101974.16,25,297.72266,297.82825,298.1569,289.28503,432.05133,214.10797,87,12729900,5812800,18729300,20025900,17449800,29331900,28535400,16043400,24676500
1994-05-11,0.1,0.0998,400.74667,231,0.01436,0.28,101725.75,37.4,299.32745,296.76337,296.8833,291.81454,432.5074,234.00337,43,5812800,18729300,20025900,17449800,29331900,28535400,16043400,24676500,28603200
